state,capital,nickname,year founded,order
Alabama,Montgomery,The Yellowhammer State,1819,22
Alaska,Juneau,The Last Frontier,1959,49
Arizona,Phoenix,The Grand Canyon State,1912,48
Arkansas,Little Rock,The Natural State,1836,25
California,Sacramento,The Golden State,1850,31
Colorado,Denver,The Centennial State,1876,38
Connecticut,Hartford,The Constitution State,1788,5
Delaware,Dover,The First State,1787,1
Florida,Tallahassee,The Sunshine State,1845,27
Georgia,Atlanta,The Peach State,1788,4
Hawaii,Honolulu,The Aloha State,1959,50
Idaho,Boise,The Gem State,1890,43
Illinois,Springfield,The Prairie State,1818,21
Indiana,Indianapolis,The Hoosier State,1816,19
Iowa,Des Moines,The Hawkeye State,1846,29
Kansas,Topeka,The Sunflower State,1861,34
Kentucky,Frankfort,The Bluegrass State,1792,15
Louisiana,Baton Rouge,The Pelican State,1812,18
Maine,Augusta,The Pine Tree State,1820,23
Maryland,Annapolis,The Old Line State,1788,7
Massachusetts,Boston,The Bay State,1788,6
Michigan,Lansing,Great Lakes State,1837,26
Minnesota,St. Paul,The North Star State,1858,32
Mississippi,Jackson,The Magnolia State,1817,
Missouri,Jefferson City,The Show-Me State,1821,24
Montana,Helena,The Treasure State,1889,41
Nebraska,Lincoln,The Cornhusker State,1867,37
Nevada,Carson City,The Silver State,1864,36
New Hampshire,Concord,The Granite State,1788,9
New Jersey,Trenton,The Garden State,1787,3
New Mexico,Santa Fe,Land of Enchantment,1912,47
New York,Albany,The Empire State,1788,11
North Carolina,Raleigh,The Tar Heel State,1789,12
North Dakota,Bismarck,The Peace Garden State,1889,39
Ohio,Columbus,The Buckeye State,1803,17
Oklahoma,Oklahoma City,The Sooner State,1907,46
Oregon,Salem,The Beaver State,1859,33
Pennsylvania,Harrisburg,The Keystone State,1787,2
Rhode Island,Providence,The Ocean State,1790,13
South Carolina,Columbia,The Palmetto State,1788,8
South Dakota,Pierre,Mount Rushmore State,1889,40
Tennessee,Nashville,The Volunteer State,1796,16
Texas,Austin,The Lone Star State,1845,28
Utah,Salt Lake City,The Beehive State,1896,45
Vermont,Montpelier,The Green Mountain State,1791,14
Virginia,Richmond,The Old Dominion State,1788,10
Washington,Olympia,The Evergreen State,1889,42
West Virginia,Charleston,The Mountain State,1863,35
Wisconsin,Madison,The Badger State,1848,30
Wyoming,Cheyenne,The Equality or Cowboy State,1890,44
